state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Iowa,IA,Wright,19197,Democrat, Uncommitted,0,0
Iowa,IA,Worth,19195,Democrat, Uncommitted,0,0
Iowa,IA,Woodbury,19193,Democrat, Uncommitted,0,0
Iowa,IA,Winneshiek,19191,Democrat, Uncommitted,0,0
Iowa,IA,Winnebago,19189,Democrat, Uncommitted,0,0
Iowa,IA,Webster,19187,Democrat, Uncommitted,0,0
Iowa,IA,Wayne,19185,Democrat, Uncommitted,0,0
Iowa,IA,Washington,19183,Democrat, Uncommitted,0,0
Iowa,IA,Warren,19181,Democrat, Uncommitted,0,0
Iowa,IA,Wapello,19179,Democrat, Uncommitted,0,0
Iowa,IA,Van Buren,19177,Democrat, Uncommitted,0,0
Iowa,IA,Union,19175,Democrat, Uncommitted,0,0
Iowa,IA,Taylor,19173,Democrat, Uncommitted,0,0
Iowa,IA,Tama,19171,Democrat, Uncommitted,0,0
Iowa,IA,Story,19169,Democrat, Uncommitted,0,0
Iowa,IA,Sioux,19167,Democrat, Uncommitted,5,0.013
Iowa,IA,Shelby,19165,Democrat, Uncommitted,0,0
Iowa,IA,Scott,19163,Democrat, Uncommitted,0,0
Iowa,IA,Sac,19161,Democrat, Uncommitted,0,0
Iowa,IA,Ringgold,19159,Democrat, Uncommitted,0,0
Iowa,IA,Poweshiek,19157,Democrat, Uncommitted,0,0
Iowa,IA,Pottawattamie,19155,Democrat, Uncommitted,7,0.002
Iowa,IA,Polk,19153,Democrat, Uncommitted,0,0
Iowa,IA,Pocahontas,19151,Democrat, Uncommitted,0,0
Iowa,IA,Plymouth,19149,Democrat, Uncommitted,0,0
Iowa,IA,Palo Alto,19147,Democrat, Uncommitted,0,0
Iowa,IA,Page,19145,Democrat, Uncommitted,0,0
Iowa,IA,Osceola,19143,Democrat, Uncommitted,0,0
Iowa,IA,O'Brien,19141,Democrat, Uncommitted,0,0
Iowa,IA,Muscatine,19139,Democrat, Uncommitted,0,0
Iowa,IA,Montgomery,19137,Democrat, Uncommitted,0,0
Iowa,IA,Monroe,19135,Democrat, Uncommitted,0,0
Iowa,IA,Monona,19133,Democrat, Uncommitted,0,0
Iowa,IA,Mitchell,19131,Democrat, Uncommitted,0,0
Iowa,IA,Mills,19129,Democrat, Uncommitted,0,0
Iowa,IA,Marshall,19127,Democrat, Uncommitted,0,0
Iowa,IA,Marion,19125,Democrat, Uncommitted,0,0
Iowa,IA,Mahaska,19123,Democrat, Uncommitted,0,0
Iowa,IA,Madison,19121,Democrat, Uncommitted,0,0
Iowa,IA,Lyon,19119,Democrat, Uncommitted,0,0
Iowa,IA,Lucas,19117,Democrat, Uncommitted,0,0
Iowa,IA,Louisa,19115,Democrat, Uncommitted,0,0
Iowa,IA,Linn,19113,Democrat, Uncommitted,0,0
Iowa,IA,Lee,19111,Democrat, Uncommitted,0,0
Iowa,IA,Kossuth,19109,Democrat, Uncommitted,6,0.01
Iowa,IA,Keokuk,19107,Democrat, Uncommitted,0,0
Iowa,IA,Jones,19105,Democrat, Uncommitted,0,0
Iowa,IA,Johnson,19103,Democrat, Uncommitted,0,0
Iowa,IA,Jefferson,19101,Democrat, Uncommitted,0,0
Iowa,IA,Jasper,19099,Democrat, Uncommitted,0,0
Iowa,IA,Jackson,19097,Democrat, Uncommitted,0,0
Iowa,IA,Iowa,19095,Democrat, Uncommitted,0,0
Iowa,IA,Ida,19093,Democrat, Uncommitted,0,0
Iowa,IA,Humboldt,19091,Democrat, Uncommitted,0,0
Iowa,IA,Howard,19089,Democrat, Uncommitted,0,0
Iowa,IA,Henry,19087,Democrat, Uncommitted,0,0
Iowa,IA,Harrison,19085,Democrat, Uncommitted,0,0
